,_id,active,addr,createdAt,lastAt,lastPaidAt,network,rank,status,txHash,txOutIdx,ver
50,60663f92dfa630d5099fd8af,7434182,WXXPFe1V1JEFkR9tp5SpmcHBUui9XC4Qy1,2021-04-01T21:48:00.000Z,2021-04-01T21:42:48.000Z,2021-04-01T20:52:49.000Z,ipv4,147,ENABLED,06a4821f0736d8ddbd3292a67b73da00200078bd2ccba80307d1cef7dc2c9958,0,70928
51,60663f93dfa630d5099fdaec,6990057,WQM5XoSnKYih1cmRCHjDqiPna2z2QzkirT,2021-04-01T21:48:00.000Z,2021-04-01T21:43:29.000Z,2021-04-01T20:51:39.000Z,ipv4,720,ENABLED,3e6889bba952bac6989d63bca27fb48c3344a408b4087c2a4eb498a09fca8548,4,70928
52,60663f93dfa630d5099fddf4,8653204,WX6okCD3dYMS9vhaW2x1t4dKk6SxmCPphS,2021-04-01T21:48:00.000Z,2021-04-01T21:44:21.000Z,2021-04-01T20:50:35.000Z,ipv4,1496,ENABLED,7c005c27e9901b7e8b1508e921c9eae2f9947f103dbfa012c7e1803d8c19253f,0,70928
53,60663f93dfa630d5099fde30,7722884,WWxWRThygywxLw4Ah5h1dF7uJ7fdQmWFPW,2021-04-01T21:48:00.000Z,2021-04-01T21:41:26.000Z,2021-04-01T20:48:40.000Z,ipv4,1556,ENABLED,199d0454fc244f55e5d679c51ca361fb7be6ae1f35b49581c6b7701ccceacef5,0,70928
54,60663f93dfa630d5099fde7b,7599741,WRtau65eUDff52LGMov29Jzd2anJPD3ftB,2021-04-01T21:48:00.000Z,2021-04-01T21:42:34.000Z,2021-04-01T20:48:29.000Z,ipv4,1631,ENABLED,8207708accc261beb4e81fb2c08214a645cbcb67446dc8954b4144e4e9622a36,0,70928
55,60663f93dfa630d5099fe1fe,7433886,WjZmg2Q6Ly9CcAyKKVfCARxxFzpniF3XPh,2021-04-01T21:48:00.000Z,2021-04-01T21:37:52.000Z,2021-04-01T20:48:00.000Z,ipv4,2530,ENABLED,de82f596b1a4aefebd84baed857ffcc77d2640d71ab52a051b0e5be7e426d23f,1,70928
56,60663f92dfa630d5099fd971,4267991,WZo562NgdJEj2vkaHWPv2w1JJQc5NWd6d9,2021-04-01T21:48:00.000Z,2021-04-01T21:40:29.000Z,2021-04-01T20:46:04.000Z,ipv6,341,ENABLED,3ae6d0d09c81b8cbd356429bb1b573ce007439e1cabfa5db752ba49f8117ce0f,0,70928
57,60663f93dfa630d5099fdcd0,1308849,WhGLgvusga5Ne6CkpHdwvH5b4CE3BRXrNB,2021-04-01T21:48:00.000Z,2021-04-01T21:44:18.000Z,2021-04-01T20:45:08.000Z,ipv6,1204,ENABLED,d0505ac728d681919c8dd6d682e0c8758ea4a2e84660564b0f8d667b75d3bf69,0,70928
58,60663f93dfa630d5099fe070,7959221,WkiYDa7ApwQckdH21GTB1h2dWt5Nfo86GC,2021-04-01T21:48:00.000Z,2021-04-01T21:41:35.000Z,2021-04-01T20:44:16.000Z,ipv4,2132,ENABLED,623775a96bba4f0d984deee9e0f7932dfcdd077cd1bca7cdd60f1c137798a815,27,70928
59,60663f93dfa630d5099fe065,7894058,WXos5y8XY5qUZxt29UtXa6hWfaM4JotmUx,2021-04-01T21:48:00.000Z,2021-04-01T21:47:22.000Z,2021-04-01T20:43:51.000Z,ipv4,2121,ENABLED,787c1c08244304d40adb56b5efcc2349d96fcc580cd8473b4110671ef39c7763,0,70928
60,60663f93dfa630d5099fdd85,3692812,WXQDZSxpZYh81c4yPz5gcLsnT9W2uJFrEx,2021-04-01T21:48:00.000Z,2021-04-01T21:39:15.000Z,2021-04-01T20:43:15.000Z,ipv6,1385,ENABLED,e9975311d697780a8cca4e8c2b511598f042ccbbf7e4257f7e7abe7b52287d1d,1,70928
61,60663f93dfa630d5099fe218,7606392,WXuMa9gVjo6dMjrZAGKfmP2chtEQSRxLjk,2021-04-01T21:48:00.000Z,2021-04-01T21:41:47.000Z,2021-04-01T20:42:40.000Z,ipv4,2556,ENABLED,80ce52d992d51ead28904dd755bc09d232f6c86c1f2c5340374434cd53b67c72,14,70928
62,60663f93dfa630d5099fdb09,4770886,WWHrLa2XYTTwdpphFE81Fnz6WbCUzLwo1r,2021-04-01T21:48:00.000Z,2021-04-01T21:43:30.000Z,2021-04-01T20:41:13.000Z,ipv4,749,ENABLED,d093ecc4d1bfb44091a0f43254e4e78f68997c549ba8d297638fe78c85d45979,0,70928
63,60663f93dfa630d5099fda15,8480216,Wmuckb3WS8qs1nHEXqLvBUJFWRg9SzQaJm,2021-04-01T21:48:00.000Z,2021-04-01T21:38:16.000Z,2021-04-01T20:41:11.000Z,ipv6,505,ENABLED,f17690187743a8447235e1077542c194169b5a6d65746087dd25a035cacc9306,1,70928
64,60663f93dfa630d5099fdee3,8618014,WPCFPXiK1Zd3rCe91mVe5tMUNQuGui5AVD,2021-04-01T21:48:00.000Z,2021-04-01T21:46:44.000Z,2021-04-01T20:40:36.000Z,ipv4,1735,ENABLED,70cb4e8955481da9b79c3a50fea2e3720f4057c76caf8eeea8fafb10d6aeb2c6,0,70928
65,60663f93dfa630d5099fde1c,7949885,WbHfCzMabZoYtrS2ALJg65Hbq2WpgfERJD,2021-04-01T21:48:00.000Z,2021-04-01T21:47:08.000Z,2021-04-01T20:39:07.000Z,ipv4,1536,ENABLED,61acf4a7d923ff7a5012957e3b686b2e63edd68484e6d9722d8846ec6ce54ffc,0,70928
66,60663f93dfa630d5099fdeb9,7959305,Wh8sCbtzQ9YMzicw7P98MqCs5ognNRAF8q,2021-04-01T21:48:00.000Z,2021-04-01T21:47:52.000Z,2021-04-01T20:38:46.000Z,ipv4,1693,ENABLED,7acff68a7c11f90f1af9a9da383e2825324f92a33e2a88cbaed647766ae0a1be,3,70928
67,60663f93dfa630d5099fe21f,7959156,WYf4fvKRs2syx1vuHj7knDz8FfJADL2se8,2021-04-01T21:48:00.000Z,2021-04-01T21:40:07.000Z,2021-04-01T20:38:25.000Z,ipv4,2563,ENABLED,623775a96bba4f0d984deee9e0f7932dfcdd077cd1bca7cdd60f1c137798a815,23,70928
68,60663f93dfa630d5099fdf75,8480347,WXWzxi3SuznfKdYenaNaJbhZ2EUmJjzbTL,2021-04-01T21:48:00.000Z,2021-04-01T21:40:24.000Z,2021-04-01T20:38:05.000Z,ipv6,1881,ENABLED,55eba6893b136fda7d7eee73b13318dd82c4bcd026712382864fc1b4c272d9c5,0,70928
69,60663f93dfa630d5099fdf22,8634671,WmooLFcMC14oQUbnxuD5tEKqSjTxEXJ3PP,2021-04-01T21:48:00.000Z,2021-04-01T21:39:11.000Z,2021-04-01T20:37:31.000Z,ipv4,1798,ENABLED,4f112d15821dbd3342d998648ff5f7084a3aae882535a5c90de415506119e745,0,70928
70,60663f93dfa630d5099fdb44,8330208,WZvucxxmk6PahSDwGN4xZaMtRQbCiNGqiv,2021-04-01T21:48:00.000Z,2021-04-01T21:42:26.000Z,2021-04-01T20:35:21.000Z,ipv6,808,ENABLED,63c931abea6cfee24d47030b75eedb0fdbfb272d185918eabc02d35ab54c73be,0,70928
71,60663f93dfa630d5099fdcaa,3466354,WPFxktVYV66QnSPTq9i4J6FUNrL98RuvTN,2021-04-01T21:48:00.000Z,2021-04-01T21:44:08.000Z,2021-04-01T20:35:13.000Z,ipv4,1166,ENABLED,6048cf85df6624ff7b9aed4d250a8a2eb7cbe0df616e71d7d0002574d3d6f404,1,70928
72,60663f93dfa630d5099fd9d5,7959317,WRYCDYWBD4Bo5yNo8TFRHozo9Uakxkan3g,2021-04-01T21:48:00.000Z,2021-04-01T21:42:22.000Z,2021-04-01T20:34:27.000Z,ipv4,441,ENABLED,623775a96bba4f0d984deee9e0f7932dfcdd077cd1bca7cdd60f1c137798a815,19,70928
73,60663f93dfa630d5099fdc60,1506201,WbjBceHd1wRBcXmtvAvrg9k16DLWETH4kN,2021-04-01T21:48:00.000Z,2021-04-01T21:42:56.000Z,2021-04-01T20:33:35.000Z,ipv4,1092,ENABLED,6d76fae4c9f2289986148c16bbb02c8792ed0c7c885ccd05251d5435c705ad77,3,70928
74,60663f93dfa630d5099fe231,7606230,WWbGsBgm6m1J4XhGuuy8GpydcVfjfZvaBL,2021-04-01T21:48:00.000Z,2021-04-01T21:39:03.000Z,2021-04-01T20:32:11.000Z,ipv4,2581,ENABLED,80ce52d992d51ead28904dd755bc09d232f6c86c1f2c5340374434cd53b67c72,1,70928
